state_name,district_name,taluk_name,village_name,official_source,official_code,firka_name,is_active
Tamil Nadu,Villupuram,Villupuram,AARIYUR,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,72,,true
Tamil Nadu,Villupuram,Villupuram,AGARAM SITHAMUR,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,62,,true
Tamil Nadu,Villupuram,Villupuram,ARIYALUR(THIRUKAI),https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,49,,true
Tamil Nadu,Villupuram,Villupuram,KALPATTU (EAST),https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,56,,true
Tamil Nadu,Villupuram,Villupuram,KALPATTU(WEST),https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,56,,true
Tamil Nadu,Villupuram,Villupuram,KANAI,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,60,,true
Tamil Nadu,Villupuram,Villupuram,KANGKIYANUR,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,53,,true
Tamil Nadu,Villupuram,Villupuram,KAPPUR,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,83,,true
Tamil Nadu,Villupuram,Villupuram,KARUNGALIPPATTU,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,59,,true
Tamil Nadu,Villupuram,Villupuram,KEDAR,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,52,,true
Tamil Nadu,Villupuram,Villupuram,KOLATHUR,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,99,,true
Tamil Nadu,Villupuram,Villupuram,KONUR,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,76,,true
Tamil Nadu,Villupuram,Villupuram,KOZHIPATTU,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,50,,true
Tamil Nadu,Villupuram,Villupuram,KUPPAM,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,61,,true
Tamil Nadu,Villupuram,Villupuram,MALLIGAIPPATTU,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,54,ianaK,true
Tamil Nadu,Villupuram,Villupuram,MAMPAZHAPPATTU,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,55,ianaK,true
Tamil Nadu,Villupuram,Villupuram,ORUKODI,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,80,ianaK,true
Tamil Nadu,Villupuram,Villupuram,PALLIYATHUR,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,51,ianaK,true
Tamil Nadu,Villupuram,Villupuram,PERUMPAKKAM,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,74,ianaK,true
Tamil Nadu,Villupuram,Villupuram,SATHIPATTU,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,79,ianaK,true
Tamil Nadu,Villupuram,Villupuram,SIRUVAKUR,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,57,ianaK,true
Tamil Nadu,Villupuram,Villupuram,THELI,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,58,ianaK,true
Tamil Nadu,Villupuram,Villupuram,THOGAVADI,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,81,ianaK,true
Tamil Nadu,Villupuram,Villupuram,V.KOTHAMANGALAM,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,77,ianaK,true
Tamil Nadu,Villupuram,Villupuram,VAILAMOOR,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,73,ianaK,true
Tamil Nadu,Villupuram,Villupuram,VAZHAPATTU,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,64,ianaK,true
Tamil Nadu,Villupuram,Villupuram,VEERAMOOR,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,41,ianaK,true
Tamil Nadu,Villupuram,Villupuram,VENGANTHUR,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,63,ianaK,true
Tamil Nadu,Villupuram,Villupuram,VENKATESAPURAM,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,75,ianaK,true
Tamil Nadu,Villupuram,Villupuram,VENMANIYATHUR,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,78,ianaK,true
Tamil Nadu,Villupuram,Villupuram,AAZHIYUR,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,215,ianaK,true
Tamil Nadu,Villupuram,Villupuram,ARPISAMPALAYAM,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,169,ianaK,true
Tamil Nadu,Villupuram,Villupuram,CHOKKAMPATTU,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,226,ianaK,true
Tamil Nadu,Villupuram,Villupuram,KALINGIKUPPAM,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,232,ianaK,true
Tamil Nadu,Villupuram,Villupuram,KANDAMANGALAM,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,213,ianaK,true
Tamil Nadu,Villupuram,Villupuram,KONDUR,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,221,ianaK,true
Tamil Nadu,Villupuram,Villupuram,KONGAMPATTU,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,227,ianaK,true
Tamil Nadu,Villupuram,Villupuram,KOTTHAMPAKKAM,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,217,ianaK,true
Tamil Nadu,Villupuram,Villupuram,KRISHNAPURAM,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,223,ianaK,true
Tamil Nadu,Villupuram,Villupuram,METTUPALAYAM,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,228,ianaK,true
Tamil Nadu,Villupuram,Villupuram,MITTAMANDAGAPATTU,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,220,ianaK,true
Tamil Nadu,Villupuram,Villupuram,MOTCHAKULAM,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,165,malagnamadnaK,true
Tamil Nadu,Villupuram,Villupuram,NAVAMAL MARUTHUR,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,214,malagnamadnaK,true
Tamil Nadu,Villupuram,Villupuram,NAVAMALKAPPER,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,211,malagnamadnaK,true
Tamil Nadu,Villupuram,Villupuram,PAKKAM NORTH,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,222,malagnamadnaK,true
Tamil Nadu,Villupuram,Villupuram,PAKKAM SOUTH,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,222,malagnamadnaK,true
Tamil Nadu,Villupuram,Villupuram,PALLICHERRY,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,218,malagnamadnaK,true
Tamil Nadu,Villupuram,Villupuram,PALLINELIANUR,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,216,malagnamadnaK,true
Tamil Nadu,Villupuram,Villupuram,PALLIPUTHUPATTU,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,219,malagnamadnaK,true
Tamil Nadu,Villupuram,Villupuram,PALLITHENNEL,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,210,malagnamadnaK,true
Tamil Nadu,Villupuram,Villupuram,PARASUREDDYPALAYAM,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,164,malagnamadnaK,true
Tamil Nadu,Villupuram,Villupuram,PERICHAMPAKKAM,https://cdn.s3waas.gov.in/s3e44fea3bec53bcea3b7513ccef5857ac/uploads/2018/04/2018042337.pdf,233,malagnamadnaK,true
